序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
89,,财神到,喜剧,立体声,1:45:16,2010,中国大陆,9685,815,None,7392,http://movie.douban.com/subject/4307000/,2010,財神到,1816,5.3,27,财神到
90,The Tibetan Dog,藏獒多吉,动画,立体声,1:30:42,2011,中国大陆,9633,3024,None,7666,http://movie.douban.com/subject/5948613/,2011,藏獒多吉,2945,7.5,59,藏獒多吉
91,Safe House,藏身之所,罪案,环绕声，多声道,1:54:20,2012,美国,16069,3323,None,13403,http://movie.douban.com/subject/4301285/,2012,Safe House,4595,6.7,52,藏身之所
92,CHARLIE ST. CLOUD,查理的生与死,奇幻,环绕声，多声道,1:34:49,2010,美国,4239,2096,None,3304,http://movie.douban.com/subject/3735153/,2010,Charlie St. Cloud,1048,6.4,22,查理的生与死
93,Charlie and the Chocolate Factory,查理和巧克力工厂,奇幻,立体声,1:49:51,2005,美国,195417,11760,None,144068,http://movie.douban.com/subject/1309101/,2005,Charlie and the Chocolate Factory,21651,7.7,391,查理和巧克力工厂
94,"AMAZING SPIDER-MAN, THE",超凡蜘蛛侠,科幻,立体声,2:10:38,2012,美国,118721,13685,None,98834,http://movie.douban.com/subject/2129132/,2012,The Amazing Spider-Man,41424,7.2,570,超凡蜘蛛侠
95,Super 8,超级八,科幻,,2:00:00,2011,美国,29322,8547,None,24306,http://movie.douban.com/subject/5503303/,2011,Super 8,8935,6.3,129,超级八
96,The Game Plan,超级杯奶爸,喜剧,,2:00:00,2007,美国,6751,531,None,5136,http://movie.douban.com/subject/2062944/,2007,The Game Plan,904,7,18,超级杯奶爸
97,"Incredible Burt Wonderstone, The",超级魔术师,喜剧,环绕声，多声道,1:40:14,2013,美国,5224,1259,None,4404,http://movie.douban.com/subject/3006892/,2013,The Incredible Burt Wonderstone,1725,6.1,14,超级魔术师
98,The Pacifier,超级奶爸,喜剧,,2:00:00,2005,加拿大/美国,24721,1517,None,17813,http://movie.douban.com/subject/1308991/,2005,The Pacifier,2486,6.6,10,神勇奶爸
99,Battleship,超级战舰,科幻,环绕声，多声道,2:09:47,2012,美国,90272,8256,None,75275,http://movie.douban.com/subject/3742937/,2012,Battleship,33718,6.5,694,超级战舰
100,Man of Steel,超人:钢铁之躯,,立体声,2:22:57,2013,美国,100494,13685,None,87574,http://movie.douban.com/subject/2049435/,2013,Man of Steel,44543,6.8,899,超人：钢铁之躯
101,DCU: Superman: Unbound,超人:挣脱束缚,动画,环绕声，多声道,1:14:06,2013,美国,1226,217,None,1049,http://movie.douban.com/subject/21339343/,2013,Superman: Unbound,421,6.2,3,超人：解放
102,Superman Ⅱ,超人2,奇幻,立体声,2:02:10,2016,美国,124,1596,None,90,http://movie.douban.com/subject/24750534/,2016,Man of Steel 2: Batman vs Superman,34,0,2,超人：钢铁之躯2
103,Superman Vs. the Elite,超人大战猎杀团,动画,环绕声，多声道,1:14:06,2012,美国,1551,270,None,1320,http://movie.douban.com/subject/10533890/,2012,Superman vs. The Elite,496,7,8,超人大战极英盟
104,Superman Returns,超人归来,科幻,立体声,2:32:28,2006,美国,48763,2065,None,34815,http://movie.douban.com/subject/1418191/,2006,Superman Returns,4088,6.4,182,超人归来
105,"PERFECT MAN, THE",超完美男人,爱情,环绕声，多声道,1:36:19,2005,美国,18540,3616,None,12834,http://movie.douban.com/subject/1419939/,2005,The Perfect Man,1511,6.3,29,超完美男人
106,Rails ＆ Ties,车祸情缘,剧情,,2:00:00,2007,美国,552,640,None,440,http://movie.douban.com/subject/2255574/,2007,Rails & Ties,100,7.1,8,车祸情缘
107,The Quiet,沉默,惊悚,立体声,1:34:44,1991,美国,307630,38395,None,218467,http://movie.douban.com/subject/1293544/,1991,The Silence of the Lambs,37039,8.6,374,沉默的羔羊
108,BOND OF SILENCE,沉默的联系,电视电影,立体声,1:27:09,,美国,106,38,None,80,http://movie.douban.com/subject/5041506/,,Bond of Silence,33,6.8,1,沉默的联系
109,The Pact of Silence,沉默的约定,惊悚,立体声,1:24:51,2003,法国,52,54,None,33,http://movie.douban.com/subject/1302782/,2003,"Pacte du silence, Le",10,6.6,1,沉默的约定
110,EDUCATION. AN,成长教育,剧情,立体声,1:40:01,2009,美国,85732,23695,None,68188,http://movie.douban.com/subject/3011093/,2009,An Education,22516,7.6,968,成长教育
111,"Town, the",城中大盗,罪案,环绕声，多声道,2:04:33,2010,美国,47602,12954,None,38831,http://movie.douban.com/subject/3217165/,2010,The Town,11864,7.3,220,城中大盗
112,"PUNISHER, THE: WAR ZONE",惩罚者2:战争特区,动作,立体声,1:36:20,2008,美国,9132,1302,None,7139,http://movie.douban.com/subject/1871800/,2008,Punisher: War Zone,1321,6.4,41,惩罚者2：战争特区
113,Red Cliff,赤壁(上),古装,立体声,2:25:21,2008,中国大陆,135881,3593,None,98711,http://movie.douban.com/subject/1465829/,2008,赤壁(上),13787,6.2,1690,赤壁(上)
114,Red Cliff Ⅱ,赤壁(下),古装,立体声,2:21:19,2009,中国大陆,99813,5856,None,75197,http://movie.douban.com/subject/3291930/,2009,赤壁(下),9980,6.4,781,赤壁(下)
115,go,冲吧,剧情,立体声,1:35:13,2006,美国,8,0,1,4,http://movie.douban.com/subject/5958632/,2006,ワンワンセレプー それゆけ!徹之進,2,0,0,冲吧！彻之进
116,SERENITY,冲出宁静号,科幻,环绕声，多声道,1:53:56,2005,美国,17618,4157,None,14241,http://movie.douban.com/subject/1309068/,2005,Serenity,2954,6.9,91,冲出宁静号
117,Reservation Road,冲击之路,剧情,环绕声，多声道,1:37:30,2007,美国,746,398,None,575,http://movie.douban.com/subject/1866426/,2007,Reservation Road,100,6.6,9,救赎之路
118,SURF'S UP,冲浪企鹅,动画,立体声,1:25:32,2007,美国,12423,1636,None,9235,http://movie.douban.com/subject/1870681/,2007,Surf's Up,1250,7.1,36,冲浪企鹅
119,The Ugly Truth,丑陋事实,喜剧,环绕声，多声道,1:35:49,2009,美国,25336,7571,None,19750,http://movie.douban.com/subject/2368587/,2009,The Ugly Truth,4510,6.6,71,丑陋的真相
120,TAXI DRIVER,出租车司机,罪案,立体声,1:53:01,1976,美国,88229,39612,None,63725,http://movie.douban.com/subject/1292222/,1976,Taxi Driver,13850,8.4,336,出租车司机
