序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
254,Viktor Vogel: Commercial Man,广告奇缘,喜剧,立体声,1:40:20,2001,德国
255,Fly Away Home,归家两万里,剧情,立体声,1:42:32,1996,美国
256,CORALINE,鬼妈妈,动画,环绕声，多声道,1:35:36,2009,美国
257,CASPER ('95),鬼马小精灵,喜剧,环绕声，多声道,1:35:54,1995,美国
258,The Haunted Mansion,鬼屋,恐怖,,2:00:00,2003,美国
259,GOTHIKA,鬼影人,惊悚,立体声,1:37:50,2003,美国
260,Ghost Town,鬼镇,奇幻,,2:00:00,2008,美国
261,JARHEAD,锅盖头,战争,环绕声，多声道,1:57:32,2005,美国
262,National Security,国家安全,动作,立体声,1:19:56,2004,美国
263,National Treasure,国家宝藏,冒险,,2:00:00,2004,美国
264,National Treasure: Book of Secrets,国家宝藏：夺宝秘笈,冒险,,2:00:00,2007,美国
265,STATE OF PLAY,国家要案,悬疑,环绕声，多声道,2:01:47,2009,美国
266,ALL THE KING'S MEN,国王班底,剧情,环绕声，多声道,2:07:52,2006,美国
267,Deuce Bigalow: Male Gigolo,哈拉猛男,喜剧,立体声,1:23:26,1999,美国
268,Harry Potter and the Order of the Phoenix,哈利·波特与凤凰社,奇幻,,2:00:00,2007,美国
269,Harry Potter and the Half-Blood Prince,哈利·波特与混血王子,奇幻,,2:00:00,2009,美国
270,Harry Potter and the Goblet of Fire,哈利·波特与火焰杯,奇幻,,2:00:00,2005,美国
271,Harry Potter and the Deathly Hallows,哈利·波特与死亡圣器(上),奇幻,立体声,2:25:46,2010,美国
272,Harry Potter and the Deathly Hallows: Part 2,哈利·波特与死亡圣器(下),奇幻,立体声,2:03:37,2011,美国
273,Hamlet (MGM),哈姆雷特,剧情,,2:00:00,2000,英国
274,"PAROLE OFFICER, THE",还我清白抢银行,喜剧,环绕声，多声道,1:26:07,2002,美国
275,Pirate Radio,海盜电台,喜剧,环绕声，多声道,2:09:34,2009,美国
276,Poseidon,海神号,冒险,立体声,1:33:47,2006,美国
277,Dolphin Tale,海豚的故事,剧情,环绕声，多声道,1:52:36,2011,美国
278,Mr. Bean's Holiday,憨豆的黄金周,喜剧,环绕声，多声道,1:25:15,2007,英国
279,BEAN,憨豆先生的大灾难,喜剧,环绕声，多声道,1:24:55,1997,英国
280,Hanna,汉娜,动作,立体声,1:44:57,2011,美国
281,Hannah Montana: The Movie,汉娜·蒙塔娜,音乐,,2:00:00,2009,美国
282,HANNIBAL,汉尼拔,惊悚,环绕声，多声道,2:02:43,2001,美国
283,Excess Baggage,行李超载,喜剧,立体声,1:34:00,1997,美国
284,The Big Hit,好胆别走,喜剧,立体声,1:25:05,1998,美国
285,Yes Man,好好先生,爱情,,2:00:00,2008,美国/澳大利亚
286,Hollywood Homicide,好莱坞重案组,悬疑,立体声,1:55:55,2003,美国
287,The Good Guy,好男孩,爱情,,2:00:00,2010,美国
288,CURIOUS GEORGE,好奇的乔治,动画,环绕声，多声道,1:23:11,2006,美国
289,A Few Good Men,好人寥寥,剧情,立体声,2:09:28,1992,美国
290,SWEPT AWAY (2002),浩劫妙冤家,爱情,立体声,1:25:31,2002,美国
291,LAKEVIEW TERRACE,合法入侵,惊悚,环绕声，多声道,1:45:56,2008,美国
292,Excalibur,黑暗时代,奇幻,立体声,2:13:59,1981,美国
293,Dark Country,黑暗乡村,惊悚,立体声,1:27:22,2009,美国
294,BLACK DAWN,黑暗坠落,动作,立体声,1:35:46,2005,美国
